INFO 2023-09-22 15:15:16,544 autoreload trigger_reload 21689 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/views.py changed, reloading.
WARNING 2023-09-22 15:50:04,270 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/urlify.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:50:04,270 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/urlify.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:50:04,275 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/vendor/xregexp/xregexp.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:50:04,275 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/vendor/xregexp/xregexp.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:50:04,293 basehttp log_message 254011 140159395812928 "GET /staticvendor/bootstrap/js/bootstrap.min.js HTTP/1.0" 404 2342
WARNING 2023-09-22 15:50:04,293 basehttp log_message 254011 140159395812928 "GET /staticvendor/bootstrap/js/bootstrap.min.js HTTP/1.0" 404 2342
WARNING 2023-09-22 15:50:04,330 basehttp log_message 254011 140158875727424 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
WARNING 2023-09-22 15:50:04,330 basehttp log_message 254011 140158875727424 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
WARNING 2023-09-22 15:50:04,360 log log_response 254011 140158875727424 Not Found: /staticvendor/adminlte/js/adminlte.min.js
WARNING 2023-09-22 15:50:04,456 log log_response 254011 140159370634816 Not Found: /staticjazzmin/js/main.js
WARNING 2023-09-22 15:50:04,473 log log_response 254011 140159362242112 Not Found: /staticvendor/select2/js/select2.min.js
WARNING 2023-09-22 15:50:04,485 log log_response 254011 140159395812928 Not Found: /staticjazzmin/js/change_list.js
WARNING 2023-09-22 15:50:04,503 log log_response 254011 140159783056960 Not Found: /staticadmin/js/vendor/jquery/jquery.js
WARNING 2023-09-22 15:50:04,548 basehttp log_message 254011 140158875727424 "GET /staticvendor/adminlte/js/adminlte.min.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:50:04,548 basehttp log_message 254011 140158875727424 "GET /staticvendor/adminlte/js/adminlte.min.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:50:04,558 basehttp log_message 254011 140159370634816 "GET /staticjazzmin/js/main.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:50:04,558 basehttp log_message 254011 140159370634816 "GET /staticjazzmin/js/main.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:50:04,583 basehttp log_message 254011 140159362242112 "GET /staticvendor/select2/js/select2.min.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:50:04,583 basehttp log_message 254011 140159362242112 "GET /staticvendor/select2/js/select2.min.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:50:04,622 basehttp log_message 254011 140159395812928 "GET /staticjazzmin/js/change_list.js HTTP/1.0" 404 2309
WARNING 2023-09-22 15:50:04,622 basehttp log_message 254011 140159395812928 "GET /staticjazzmin/js/change_list.js HTTP/1.0" 404 2309
WARNING 2023-09-22 15:50:04,635 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
